pageid	title	busyu	sokaku	edu_kanji	joyo_kanji	onyomi	kunyomi	jiscode	kuten
36557	乘	* {{部首|丿|9}}	* {{総画|10}}			* 音読み,** [[呉音]] : [[ジョウ]]([[ジョゥ]]),** [[漢音]] : [[ショウ]]([[ショゥ]])	* 訓読み,*: [[のる|の-る]]、[[のせる|の-せる]]	** [[JIS]]*** 16進：502B	** [[区点]]：1面48区11点
36558	亂	* {{部首|乙|12}}	* {{総画|13}}			* 音読み,** [[呉音]] : [[ラン]],** [[漢音]] : [[ラン]],** [[慣用音]] : [[ロン]]	* 訓読み,*: [[みだれる|みだ-れる]]、[[みだる|みだ-る]]、[[みだす|みだ-す]]、[[おさめる|おさ-める]]、[[わたる|わた-る]]	** [[JIS]]*** 16進：502C	** [[区点]]：1面48区12点
36559	亅	* {{部首|亅|0}}	* {{総画|1}}			* 音読み,** [[呉音]] : [[ゴチ]],** [[漢音]] : [[ケツ]]	* 訓読み,*: [[かぎ]]、[[はねぼう]]	** [[JIS]]*** 16進：502D	** [[区点]]：1面48区13点
36560	豫	* {{部首|豕|9}}	* {{総画|16}}			* 音読み,** [[呉音]] : [[ヨ]],** [[漢音]] : [[ヨ]]	* 訓読み,*: [[あらかじめ|あらかじ-め]]	** [[JIS]]*** 16進：502E	** [[区点]]：1面48区14点
36561	亊	* {{部首|亅|6}}	* {{総画|7}}			* 音読み,** [[呉音]] : [[ジ]],** [[漢音]] : [[シ]],** [[慣用音]] : [[ズ]]	* 訓読み,*: [[こと]]、[[つかう|つか-う]]、[[つかえる|つか-える]]	** [[JIS]]*** 16進：502F	** [[区点]]：1面48区15点
36562	舒	* {{部首|舌|6}}	* {{総画|12}}			* 音読み,** [[呉音]] : [[ショ]],** [[漢音]] : [[ショ]],** [[慣用音]] : [[ジョ]]	* 訓読み,*: [[のべる|の-べる]]	** [[JIS]]*** 16進：5030	** [[区点]]：1面48区16点
36563	弍	* {{部首|弋|2}}	* {{総画|5}}			* 音読み,** [[呉音]] : [[ニ]],** [[漢音]] : [[ジ]]	* 訓読み,*: [[ふた]]、[[ふたつ|ふた-つ]]、[[ふたたび|ふたた-び]]	** [[JIS]]*** 16進：5031	** [[区点]]：1面48区17点
36565	亟	* {{部首|二|6}}	* {{総画|8}}			* 音読み,** [[呉音]] : [[コ]]、[[コク]],** [[漢音]] : [[キ]]、[[キョク]]	* 訓読み,*: [[しばしば]]、[[すみやか]]	** [[JIS]]*** 16進：5034	** [[区点]]：1面48区20点
36566	亠	* {{部首|亠|0}}	* {{総画|2}}			* 音読み,** [[慣用音]] : [[トウ]]		** [[JIS]]*** 16進：5035	** [[区点]]：1面48区21点
36567	亢	* {{部首|亠|2}}	* {{総画|4}}			* 音読み,** [[呉音]] : [[コウ]]([[カゥ]]),** [[漢音]] : [[コウ]]([[カゥ]])	* 訓読み,*: [[たかぶる|たか-ぶる]]、[[さえぎる|さえぎ-る]]	** [[JIS]]*** 16進：5036	** [[区点]]：1面48区22点
36568	亰	* {{部首|亠|7}}	* {{総画|9}}			* 音読み,** [[呉音]] : [[キョウ]]([[キャゥ]]),** [[漢音]] : [[ケイ]]([[ケィ]]),** [[慣用音]] : [[キン]]	* 訓読み,*: [[みやこ]]	** [[JIS]]*** 16進：5037	** [[区点]]：1面48区23点
36569	亳	* {{部首|亠|8}}	* {{総画|10}}			* 音読み,** [[呉音]] : [[バク]],** [[漢音]] : [[ハク]]		** [[JIS]]*** 16進：5038	** [[区点]]：1面48区24点
36570	亶	* {{部首|亠|11}}	* {{総画|13}}			* 音読み,** [[呉音]] : [[ゼン]]、[[タン]],** [[漢音]] : [[セン]]、[[タン]]	* 訓読み,*: [[あつい|あつ-い]]、[[ほしいまま]]	** [[JIS]]*** 16進：5039	** [[区点]]：1面48区25点
36571	从	* {{部首|人|2}}	* {{総画|4}}			* 音読み,** [[呉音]] : [[シュ]]、[[ジュ]]、[[ジュウ]]([[ジュゥ]]),** [[漢音]] : [[ショウ]]([[ショゥ]]),** [[慣用音]] : [[ジュウ]]([[ジュゥ]])	* 訓読み,*: [[したがう|したが-う]]、[[したがえる|したが-える]]、[[より]]	** [[JIS]]*** 16進：503A	** [[区点]]：1面48区26点
36572	從	* {{部首|彳|8}}	* {{総画|11}}			* 音読み,** [[呉音]] : [[シュ]]、[[ジュ]]、[[ジュウ]]([[ジュゥ]]),** [[漢音]] : [[ショウ]]([[ショゥ]]),** [[慣用音]] : [[ジュウ]]([[ジュゥ]])	* 訓読み,*: [[したがう|したが-う]]、[[したがえる|したが-える]]、[[より]]	** [[JIS]]*** 16進：574F	** [[区点]]：1面55区47点
36573	仍	* {{部首|人|2}}	* {{総画|4}}			* 音読み,** [[呉音]] : [[ニョウ]]([[ニョゥ]]),** [[漢音]] : [[ジョウ]]([[ジョゥ]])	* 訓読み,*: [[よって|よ-って]]、[[しきりに]]、[[なお]]、[[よる]]	** [[JIS]]*** 16進：503B	** [[区点]]：1面48区27点
36574	仄	* {{部首|人|2}}	* {{総画|4}}			* 音読み,** [[呉音]] : [[シキ]],** [[漢音]] : [[ソク]]	* 訓読み,*: [[ほのか|ほの-か]]、[[ほのめかす|ほの-めかす]]、[[ほのめく|ほの-めく]]、[[かたむく|かたむ-く]]	** [[JIS]]*** 16進：503C	** [[区点]]：1面48区28点
36575	庂	* {{部首|广|2}}	* {{総画|5}}			* 音読み,** [[呉音]] : [[シキ]],** [[漢音]] : [[ソク]]	* 訓読み,*: [[ほのか|ほの-か]]、[[ほのめかす|ほの-めかす]]、[[ほのめく|ほの-めく]]、[[かたむく|かたむ-く]]		
36576	仆	* {{部首|人|2}}	* {{総画|4}}			* 音読み,** [[呉音]] : [[フ]]、[[ボク]],** [[漢音]] : [[フ]]、[[ホク]]	* 訓読み,*: [[たおれる|たお-れる]]	** [[JIS]]*** 16進：503D	** [[区点]]：1面48区29点
36577	仂	* {{部首|人|2}}	* {{総画|4}}			* 音読み,** [[呉音]] : [[ロク]]、[[リキ]],** [[漢音]] : [[ロク]]、[[リョク]]	* 訓読み,*: なし,*:（「[[働]]」の俗略字として）[[はたらく|はたら-く]]	** [[JIS]]*** 16進：503E	** [[区点]]：1面48区30点
36578	扐	* {{部首|手|2}}	* {{総画|5}}			* 音読み,** [[呉音]] : [[ロク]],** [[漢音]] : [[ロク]]	* 訓読み,*: [[はたらく|はたら-く]]		
36579	仗	* {{部首|人|3}}	* {{総画|5}}			* 音読み,** [[呉音]] : [[ジョウ]]([[ヂャゥ]]),** [[漢音]] : [[チョウ]]([[チャゥ]])	* 訓読み,*: [[つえ]]、[[つわもの]]、[[まわり]]、[[よる]]	** [[JIS]]*** 16進：503F	** [[区点]]：1面48区31点
36580	仞	* {{部首|人|3}}	* {{総画|5}}			* 音読み,** [[呉音]] : [[ニン]],** [[漢音]] : [[ジン]]	* 訓読み,*: [[はかる|はか-る]]	** [[JIS]]*** 16進：5040	** [[区点]]：1面48区32点
36581	仭	* {{部首|人|3}}	* {{総画|5}}			* 音読み,** [[呉音]] : [[ニン]],** [[漢音]] : [[ジン]]	* 訓読み,*: [[はかる|はか-る]]	** [[JIS]]*** 16進：5041	** [[区点]]：1面48区33点
36582	仟	* {{部首|人|3}}	* {{総画|5}}			* 音読み,** [[呉音]] : [[セン]],** [[漢音]] : [[セン]]	* 訓読み,*: [[ち]]、[[かしら]]	** [[JIS]]*** 16進：5042	** [[区点]]：1面48区34点
36584	价	* {{部首|人|4}}	* {{総画|6}}			* 音読み,** [[呉音]] : [[ケ]],** [[漢音]] : [[カイ]]	* 訓読み,*: [[あたい]]	** [[JIS]]*** 16進：5043	** [[区点]]：1面48区35点
36585	價	* {{部首|人|13}}	* {{総画|15}}			* 音読み,** [[呉音]] : [[ケ]],** [[漢音]] : [[カ]]	* 訓読み,*: [[あたい]]	** [[JIS]]*** 16進：512B	** [[区点]]：1面49区11点
36586	伉	* {{部首|人|4}}	* {{総画|6}}			* 音読み,** [[呉音]] : [[コウ]]([[カゥ]]),** [[漢音]] : [[コウ]]([[カゥ]])	* 訓読み,*: [[たぐい|たぐ-い]]、[[ならぶ|なら-ぶ]]	** [[JIS]]*** 16進：5044	** [[区点]]：1面48区36点
36587	佚	* {{部首|人|5}}	* {{総画|7}}			* 音読み,** [[呉音]] : [[イチ]]、[[デチ]],** [[漢音]] : [[イツ]]、[[テツ]]	* 訓読み,*: [[たのしむ|たのし-む]]、[[のがれる|のが-れる]]	** [[JIS]]*** 16進：5045	** [[区点]]：1面48区37点
36588	估	* {{部首|人|5}}	* {{総画|7}}			* 音読み,** [[呉音]] : [[ク]],** [[漢音]] : [[コ]]	* 訓読み,*: [[あきなう|あきな-う]]、[[あたい|あた-い]]	** [[JIS]]*** 16進：5046	** [[区点]]：1面48区38点
36589	佝	* {{部首|人|5}}	* {{総画|7}}			* 音読み,** [[呉音]] : [[ク]],** [[漢音]] : [[コウ]]	* 訓読み,*: [[せむし]]	** [[JIS]]*** 16進：5048	** [[区点]]：1面48区40点
36590	佗	* {{部首|人|5}}	* {{総画|7}}			* 音読み,** [[呉音]] : [[ダ]],** [[漢音]] : [[タ]]	* 訓読み,*: [[わびしい|わび-しい]]、[[ほか]]、[[わびる|わ-びる]]	** [[JIS]]*** 16進：5049	** [[区点]]：1面48区41点
36591	竚	* {{部首|立|5}}	* {{総画|10}}			* 音読み,** [[呉音]] : [[ジョ]]([[ヂョ]]),** [[漢音]] : [[チョ]]	* 訓読み,*: [[たたずむ|たたず-む]]	** [[JIS]]*** 16進：636C	** [[区点]]：1面67区76点
36592	佇	* {{部首|人|5}}	* {{総画|7}}			* 音読み,** [[呉音]] : [[ジョ]]([[ヂョ]]),** [[漢音]] : [[チョ]]	* 訓読み,*: [[たたずむ|たたず-む]]	** [[JIS]]*** 16進：504A	** [[区点]]：1面48区42点
36593	佶	* {{部首|人|6}}	* {{総画|8}}			* 音読み,** [[呉音]] : [[ギチ]],** [[漢音]] : [[キツ]]	* 訓読み	** [[JIS]]*** 16進：504B	** [[区点]]：1面48区43点
36594	侈	* {{部首|人|6}}	* {{総画|8}}			* 音読み,** [[呉音]] : [[シ]],** [[漢音]] : [[シ]]	* 訓読み,*: [[おごる|おご-る]]	** [[JIS]]*** 16進：504C	** [[区点]]：1面48区44点
36595	侏	* {{部首|人|6}}	* {{総画|8}}			* 音読み,** [[呉音]] : [[ス]],** [[漢音]] : [[シュ]]	* 訓読み,*: [[みじかい|みじか-い]]、[[あざむく|あざむ-く]]	** [[JIS]]*** 16進：504D	** [[区点]]：1面48区45点
36596	侘	* {{部首|人|6}}	* {{総画|8}}			* 音読み,** [[呉音]] : [[チャ]],** [[漢音]] : [[タ]]	* 訓読み,*: [[わびしい|わび-しい]]、[[ほこる|ほこ-る]]、[[わびる|わ-びる]]	** [[JIS]]*** 16進：504E	** [[区点]]：1面48区46点
36597	佻	* {{部首|人|6}}	* {{総画|8}}			* 音読み,** [[呉音]] : [[ジョウ]]([[デウ]]),** [[漢音]] : [[チョウ]]([[テウ]])	* 訓読み,*: [[かるい|かる-い]]	** [[JIS]]*** 16進：504F	** [[区点]]：1面48区47点
36598	佩	* {{部首|人|6}}	* {{総画|8}}			* 音読み,** [[呉音]] : [[バイ]],** [[漢音]] : [[ハイ]]	* 訓読み,*: [[はく|は-く]]、[[おびる|お-びる]]、[[おびだま]]	** [[JIS]]*** 16進：5050	** [[区点]]：1面48区48点
36599	珮	* {{部首|玉|6}}	* {{総画|10}}			* 音読み,** [[呉音]] : [[バイ]],** [[漢音]] : [[ハイ]]	* 訓読み,*: [[おびだま]]	** [[JIS]]*** 16進：6063	** [[区点]]：1面64区67点
36600	佯	* {{部首|人|6}}	* {{総画|8}}			* 音読み,** [[呉音]] : [[ヨウ]]([[ヤゥ]]),** [[漢音]] : [[ヨウ]]([[ヤゥ]])	* 訓読み,*: [[いつわる|いつわ-る]]	** [[JIS]]*** 16進：5053	** [[区点]]：1面48区51点
36601	佰	* {{部首|人|6}}	* {{総画|8}}			* 音読み,** [[呉音]] : [[ビャク]],** [[漢音]] : [[ハク]],** [[慣用音]] : [[ヒャク]]	* 訓読み,*: [[おさ]]	** [[JIS]]*** 16進：5051	** [[区点]]：1面48区49点
36602	侖	* {{部首|人|6}}	* {{総画|8}}			* 音読み,** [[呉音]] : [[リン]],** [[漢音]] : [[リン]]	* 訓読み,*: [[おもう|おも-う]]	** [[JIS]]*** 16進：5055	** [[区点]]：1面48区53点
36603	俔	* {{部首|人|7}}	* {{総画|9}}			* 音読み,** [[呉音]] : [[ケン]]、[[ゲン]],** [[漢音]] : [[ケン]]	* 訓読み,*: [[たとえる|たと-える]]、[[うかがう|うかが-う]]	** [[JIS]]*** 16進：5057	** [[区点]]：1面48区55点
36604	俟	* {{部首|人|7}}	* {{総画|9}}			* 音読み,** [[呉音]] : [[ジ]],** [[漢音]] : [[シ]]	* 訓読み,*: [[まつ|ま-つ]]	** [[JIS]]*** 16進：5058	** [[区点]]：1面48区56点
36605	俎	* {{部首|人|7}}	* {{総画|9}}			* 音読み,** [[呉音]] : [[ショ]],** [[漢音]] : [[ソ]]	* 訓読み,*: [[いた]]、[[まないた]]	** [[JIS]]*** 16進：5059	** [[区点]]：1面48区57点
36606	爼	* {{部首|爻|5}}	* {{総画|9}}					** [[JIS]]*** 16進：602C	** [[区点]]：1面64区12点
36607	俘	* {{部首|人|7}}	* {{総画|9}}			* 音読み,** [[呉音]] : [[フ]],** [[漢音]] : [[フ]]	* 訓読み,*: [[とりこ]]	** [[JIS]]*** 16進：505A	** [[区点]]：1面48区58点
36608	俛	* {{部首|人|7}}	* {{総画|9}}			* 音読み,** [[呉音]] : [[フ]]、[[メン]],** [[漢音]] : [[フ]]、[[ベン]]	* 訓読み,*: [[ふせる|ふ-せる]]	** [[JIS]]*** 16進：505B	** [[区点]]：1面48区59点
36609	俑	* {{部首|人|7}}	* {{総画|9}}			* 音読み,** [[呉音]] : [[ユウ]]([[ユゥ]]),** [[漢音]] : [[ヨウ]]([[ヨゥ]])		** [[JIS]]*** 16進：505C	** [[区点]]：1面48区60点
36610	俚	* {{部首|人|7}}	* {{総画|9}}			* 音読み,** [[呉音]] : [[リ]],** [[漢音]] : [[リ]]	* 訓読み,*: [[いやしい|いや-しい]]	** [[JIS]]*** 16進：505D	** [[区点]]：1面48区61点
36611	俤	* {{部首|人|7}}	* {{総画|9}}			* 音読み	* 訓読み,*: [[おもかげ]]、[[てい]]	** [[JIS]]*** 16進：505F	** [[区点]]：1面48区63点
36612	俥	* {{部首|人|7}}	* {{総画|9}}			* 音読み,*: 慣用音:[[シャ]]	* 訓読み,*: [[くるま]]	** [[JIS]]*** 16進：5060	** [[区点]]：1面48区64点
36613	倚	* {{部首|人|8}}	* {{総画|10}}			* 音読み,** [[呉音]] : [[イ]],** [[漢音]] : [[イ]]	* 訓読み,*: [[よる|よ-る]]、[[たのむ|たの-む]]	** [[JIS]]*** 16進：5061	** [[区点]]：1面48区65点
36614	倨	* {{部首|人|8}}	* {{総画|10}}			* 音読み,** [[呉音]] : [[コ]],** [[漢音]] : [[キョ]]	* 訓読み,*: [[おごる|おご-る]]	** [[JIS]]*** 16進：5062	** [[区点]]：1面48区66点
36615	倔	* {{部首|人|8}}	* {{総画|10}}			* 音読み,** [[呉音]] : [[ゴチ]],** [[漢音]] : [[クツ]]	* 訓読み,*: [[つよい|つよ-い]]	** [[JIS]]*** 16進：5063	** [[区点]]：1面48区67点
36616	倪	* {{部首|人|8}}	* {{総画|10}}			* 音読み,** [[呉音]] : [[ゲ]],** [[漢音]] : [[ゲイ]]	* 訓読み,*: [[きわ]]	** [[JIS]]*** 16進：5064	** [[区点]]：1面48区68点
36617	倥	* {{部首|人|8}}	* {{総画|10}}			* 音読み,** [[呉音]] : [[クウ]]([[クゥ]]),** [[漢音]] : [[コウ]]([[コゥ]])	* 訓読み,*: [[ぬかる|ぬか-る]]	** [[JIS]]*** 16進：5065	** [[区点]]：1面48区69点
36618	倅	* {{部首|人|8}}	* {{総画|10}}			* 音読み,** [[呉音]] : [[サイ]]、[[ソチ]],** [[漢音]] : [[サイ]]、[[ソツ]]	* 訓読み,*: [[せがれ]]	** [[JIS]]*** 16進：5066	** [[区点]]：1面48区70点
36619	伜	* {{部首|人|4}}	* {{総画|6}}			* 音読み,** [[呉音]] : [[サイ]]、[[ソチ]],** [[漢音]] : [[サイ]]、[[ソツ]]	* 訓読み,*: [[せがれ]]	** [[JIS]]*** 16進：5067	** [[区点]]：1面48区71点
36620	俶	* {{部首|人|8}}	* {{総画|10}}			* 音読み,** [[呉音]] : [[シュク]]、[[チャク]],** [[漢音]] : [[シュク]]、[[テキ]]	* 訓読み,*: [[はじめ]]、[[よい]]	** [[JIS]]*** 16進：5068	** [[区点]]：1面48区72点
36621	倡	* {{部首|人|8}}	* {{総画|10}}			* 音読み,** [[呉音]] : [[ショウ]]([[シャゥ]]),** [[漢音]] : [[ショウ]]([[シャゥ]])	* 訓読み,*: [[となえる|とな-える]]、[[わざおぎ]]	** [[JIS]]*** 16進：5069	** [[区点]]：1面48区73点
36622	倩	* {{部首|人|8}}	* {{総画|10}}			* 音読み,** [[呉音]] : [[ショウ]]([[シャゥ]])、[[セン]],** [[漢音]] : [[セイ]]([[セィ]])、[[セン]]	* 訓読み,*: [[つらつら]]、[[うつくしい|うつく-しい]]	** [[JIS]]*** 16進：506A	** [[区点]]：1面48区74点
36623	倬	* {{部首|人|8}}	* {{総画|10}}			* 音読み,** [[呉音]] : [[タク]],** [[漢音]] : [[タク]]	* 訓読み,*: [[おおきい|おお-きい]]、[[あきらか|あき-らか]]、[[たかい|たか-い]]	** [[JIS]]*** 16進：506B	** [[区点]]：1面48区75点
36624	俾	* {{部首|人|8}}	* {{総画|10}}			* 音読み,** [[呉音]] : [[ハイ]]、[[ヒ]],** [[漢音]] : [[ヒ]]、[[ヘイ]]	* 訓読み,*: [[かしずく]]、[[しむ]]	** [[JIS]]*** 16進：506C	** [[区点]]：1面48区76点
36625	俯	* {{部首|人|8}}	* {{総画|10}}			* 音読み,** [[呉音]] : [[フ]],** [[漢音]] : [[フ]]	* 訓読み,*: [[うつむく|うつむ-く]]、[[ふす|ふ-す]]、[[ふせる|ふ-せる]]	** [[JIS]]*** 16進：506D	** [[区点]]：1面48区77点
36626	倆	* {{部首|人|8}}	* {{総画|10}}			* 音読み,** [[呉音]] : [[ロウ]]([[ラゥ]]),** [[漢音]] : [[リョウ]]([[リャゥ]])	* 訓読み,*: [[たくみ]]	** [[JIS]]*** 16進：506F	** [[区点]]：1面48区79点
36627	偃	* {{部首|人|9}}	* {{総画|11}}			* 音読み,** [[呉音]] : [[オン]],** [[漢音]] : [[エン]]	* 訓読み,*: [[ふせる|ふ-せる]]	** [[JIS]]*** 16進：5070	** [[区点]]：1面48区80点
36628	假	* {{部首|人|9}}	* {{総画|11}}			* 音読み,** [[呉音]] : [[ケ]],** [[漢音]] : [[カ]]	* 訓読み,*: [[かり]]、[[かりる|かり-る]]	** [[JIS]]*** 16進：5071	** [[区点]]：1面48区81点
36629	會	* {{部首|曰|9}}	* {{総画|13}}			* 音読み,** [[呉音]] : [[エ]]([[ヱ]])、[[ケ]]([[クヱ]]),** [[漢音]] : [[カイ]]([[クヮイ]])	* 訓読み,*: [[あう|あ-う]]、[[あわせる|あ-わせる]]、[[あつまる|あつ-まる]]、[[あい]]	** [[JIS]]*** 16進：5072	** [[区点]]：1面48区82点
36630	偕	* {{部首|人|9}}	* {{総画|11}}			* 音読み,** [[呉音]] : [[ケ]],** [[漢音]] : [[カイ]]	* 訓読み,*: [[ともに]]	** [[JIS]]*** 16進：5073	** [[区点]]：1面48区83点
36631	偐	* {{部首|人|9}}	* {{総画|11}}			* 音読み,** [[呉音]] : [[ゲン]],** [[漢音]] : [[ガン]]	* 訓読み,*: [[いつわる|いつわ-る]]、[[にせ]]	** [[JIS]]*** 16進：5074	** [[区点]]：1面48区84点
36632	偈	* {{部首|人|9}}	* {{総画|11}}			* 音読み,** [[呉音]] : [[ゲ]]、[[ゲチ]],** [[漢音]] : [[ケイ]]、[[ケツ]]	* 訓読み,*: [[いこう|いこ-う]]	** [[JIS]]*** 16進：5075	** [[区点]]：1面48区85点
36633	偖	* {{部首|人|9}}	* {{総画|11}}			* 音読み,** [[呉音]] : [[シャ]],** [[漢音]] : [[シャ]]	* 訓読み,*: [[さて]]	** [[JIS]]*** 16進：5077	** [[区点]]：1面48区87点
36634	扠	* {{部首|手|3}}	* {{総画|6}}			* 音読み,** [[呉音]] : [[シャ]]、[[セ]],** [[漢音]] : [[サ]]、[[サイ]]	* 訓読み,*: [[さて]]、[[さす|さ-す]]	** [[JIS]]*** 16進：592D	** [[区点]]：1面57区13点
36635	扨	* {{部首|手|3}}	* {{総画|6}}			* 音読み	* 訓読み,*: [[さて]]、[[さす|さ-す]]	** [[JIS]]*** 16進：592E	** [[区点]]：1面57区14点
36636	偬	* {{部首|人|9}}	* {{総画|11}}			* 音読み,** [[呉音]] : [[ス]],** [[漢音]] : [[ソウ]]([[ソゥ]])	* 訓読み,*: [[くるしむ|くる-しむ]]	** [[JIS]]*** 16進：5078	** [[区点]]：1面48区88点
36637	傯	* {{部首|人|11}}	* {{総画|13}}			* 音読み,** [[呉音]] : [[ス]],** [[漢音]] : [[ソウ]]([[ソゥ]])	* 訓読み,*: [[くるしむ|くる-しむ]]		
36638	偸	* {{部首|人|9}}	* {{総画|11}}			* 音読み,** [[呉音]] : [[ツ]],** [[漢音]] : [[トウ]],** [[慣用音]] : [[チュウ]]	* 訓読み,*: [[ぬすむ|ぬす-む]]	** [[JIS]]*** 16進：5079	** [[区点]]：1面48区89点
36639	傀	* {{部首|人|10}}	* {{総画|12}}			* 音読み,** [[呉音]] : [[ケ]]([[クヱ]]),** [[漢音]] : [[カイ]]([[クヮイ]])	* 訓読み,*: [[おおきい|おおき-い]]	** [[JIS]]*** 16進：507A	** [[区点]]：1面48区90点
36640	傚	* {{部首|人|10}}	* {{総画|12}}			* 音読み,** [[呉音]] : [[ギョウ]]([[ゲウ]]),** [[漢音]] : [[コウ]]([[カウ]])	* 訓読み,*: [[ならう|なら-う]]	** [[JIS]]*** 16進：507B	** [[区点]]：1面48区91点
36641	傅	* {{部首|人|10}}	* {{総画|12}}			* 音読み,** [[呉音]] : [[フ]],** [[漢音]] : [[フ]]	* 訓読み,*: [[かしずく|かしず-く]]、[[つく]]、[[もり]]、[[でん]]	** [[JIS]]*** 16進：507C	** [[区点]]：1面48区92点
36642	傴	* {{部首|人|11}}	* {{総画|13}}			* 音読み,** [[呉音]] : [[ウ]],** [[漢音]] : [[ウ]]	* 訓読み,*: [[かがむ|かが-む]]、[[せむし]]	** [[JIS]]*** 16進：507D	** [[区点]]：1面48区93点
36643	傲	* {{部首|人|11}}	* {{総画|13}}		[[カテゴリ:常用漢字 2010年追加]]	* 音読み,** [[呉音]] : [[ゴウ]]([[ガウ]]),** [[漢音]] : [[ゴウ]]([[ガウ]])	* 訓読み,*: [[おごる|おご-る]]、[[あなどる|あなど-る]]	** [[JIS]]*** 16進：507E	** [[区点]]：1面48区94点
36659	僉	* {{部首|人|11}}	* {{総画|13}}			* 音読み,** [[呉音]] : [[セン]]([[セム]]),** [[漢音]] : [[セン]]([[セム]])	* 訓読み,*: [[みな]]	** [[JIS]]*** 16進：5121	** [[区点]]：1面49区1点
36660	僊	* {{部首|人|11}}	* {{総画|13}}			* 音読み,** [[呉音]] : [[セン]],** [[漢音]] : [[セン]]	* 訓読み,*: [[やまびと]]、[[せんにん]]	** [[JIS]]*** 16進：5122	** [[区点]]：1面49区2点
36661	傳	* {{部首|人|11}}	* {{総画|13}}			* 音読み,** [[呉音]] : [[デン]],** [[漢音]] : [[テン]]	* 訓読み,*: [[つたわる|つた-わる]]、[[つたえる|つた-える]]、[[つたう|つた-う]]、[[つて]]	** [[JIS]]*** 16進：5123	** [[区点]]：1面49区3点
36663	僂	* {{部首|人|11}}	* {{総画|13}}			* 音読み,** [[呉音]] : [[ル]],** [[漢音]] : [[ル]]、[[ロウ]]	* 訓読み,*: [[かがむ|かが-む]]	** [[JIS]]*** 16進：5124	** [[区点]]：1面49区4点
36664	僖	* {{部首|人|12}}	* {{総画|14}}			* 音読み,** [[呉音]] : [[キ]],** [[漢音]] : [[キ]]	* 訓読み,*: [[よろこぶ|よろこ-ぶ]]	** [[JIS]]*** 16進：5125	** [[区点]]：1面49区5点
36666	僞	* {{部首|人|12}}	* {{総画|14}}			* 音読み,** [[呉音]] : [[ガ]]([[グヮ]])、[[ギ]]([[グヰ]]),** [[漢音]] : [[ガ]]([[グヮ]])、[[ギ]]([[グヰ]]),** [[慣用音]] : [[カ]]([[クヮ]])	* 訓読み,*: [[いつわる|いつわ-る]]、[[いつわり|いつわ-り]]、[[にせ]]	** [[JIS]]*** 16進：5126	** [[区点]]：1面49区6点
36667	僥	* {{部首|人|12}}	* {{総画|14}}			* 音読み,** [[呉音]] : [[キョウ]]([[ケウ]])、[[ギョウ]]([[ゲウ]]),** [[漢音]] : [[キョウ]]([[ケウ]])、[[ギョウ]]([[ゲウ]]),** [[慣用音]] : [[ギョウ]]([[ゲウ]])	* 訓読み	** [[JIS]]*** 16進：5127	** [[区点]]：1面49区7点
36668	僭	* {{部首|人|12}}	* {{総画|14}}			* 音読み,** [[呉音]] : [[シン]]([[シム]])、[[セン]]([[セム]]),** [[漢音]] : [[シン]]([[シム]])、[[セン]]([[セム]])	* 訓読み,*: [[せんする|せん-する]]、[[おごる|おご-る]]	** [[JIS]]*** 16進：5128	** [[区点]]：1面49区8点
36669	僣	* {{部首|人|12}}	* {{総画|14}}			* 音読み,** [[呉音]] : [[テチ]],** [[漢音]] : [[テツ]],** [[慣用音]] : [[セン]]	* 訓読み,*: [[せんする|せん-する]]、[[おごる|おご-る]]	** [[JIS]]*** 16進：5129	** [[区点]]：1面49区9点
36670	僮	* {{部首|人|12}}	* {{総画|14}}			* 音読み,** [[呉音]] : [[ズウ]]([[ヅゥ]]),** [[漢音]] : [[トウ]]([[トゥ]]),** [[慣用音]] : [[ドウ]]([[ドゥ]])	* 訓読み,*: [[しもべ]]、[[わらべ]]	** [[JIS]]*** 16進：512A	** [[区点]]：1面49区10点
36671	僵	* {{部首|人|13}}	* {{総画|15}}			* 音読み,** [[呉音]] : [[コウ]]([[カゥ]]),** [[漢音]] : [[キョウ]]([[キャゥ]])	* 訓読み,*: [[たおれる|たお-れる]]	** [[JIS]]*** 16進：512C	** [[区点]]：1面49区12点
36672	儉	* {{部首|人|13}}	* {{総画|15}}			* 音読み,** [[呉音]] : [[ゲン]]([[ゲム]]),** [[漢音]] : [[ケン]]([[ケム]])	* 訓読み,*: [[つましい|つま-しい]]、[[つづまやか]]	** [[JIS]]*** 16進：512D	** [[区点]]：1面49区13点
36673	儁	* {{部首|人|12}}	* {{総画|14}} <!-- en版での総画数=15 -->			* 音読み,** [[呉音]] : [[シュン]],** [[漢音]] : [[シュン]]	* 訓読み,*: [[すぐれる|すぐ-れる]]	** [[JIS]]*** 16進：512E	** [[区点]]：1面49区14点
36674	儂	* {{部首|人|13}}	* {{総画|15}}			* 音読み,** [[呉音]] : [[ノ]]、[[ノウ]]([[ノゥ]]),** [[漢音]] : [[ドウ]]([[ドゥ]]),** [[慣用音]] : [[ノン]]	* 訓読み,*: [[わし]]、[[かれ]]	** [[JIS]]*** 16進：512F	** [[区点]]：1面49区15点
36675	儖	* {{部首|人|15}}	* {{総画|17}} <!-- en版での総画数=16 -->			* 音読み,** [[呉音]] : [[ラン]]([[ラム]]),** [[漢音]] : [[ラン]]([[ラム]])	* 訓読み	** [[JIS]]*** 16進：5130	** [[区点]]：1面49区16点
